# #で始まる行はスキップされます
# 年,月,節入日,節入時(0-24),節入分(0-59)

1921,7,8,2,7
1921,8,8,11,44
1921,9,8,14,10
1921,10,9,5,11
1921,11,8,7,46
1921,12,8,0,12
1922,1,6,11,17
1922,2,4,23,7
1922,3,6,17,34
1922,4,5,22,58
1922,5,6,16,53
1922,6,6,21,30
1922,7,8,7,58
1922,8,8,17,38
1922,9,8,20,7
1922,10,9,11,10
1922,11,8,13,46
1922,12,8,6,11
1923,1,6,17,14
1923,2,5,5,1
1923,3,6,23,25
1923,4,6,4,46
1923,5,6,22,39
1923,6,7,3,15
1923,7,8,13,42
1923,8,8,23,25
1923,9,9,1,58
1923,10,9,17,4
1923,11,8,19,41
1923,12,8,12,5
1924,1,6,23,6
1924,2,5,10,50
1924,3,6,5,13
1924,4,5,10,33
1924,5,6,4,26
1924,6,6,9,2
1924,7,7,19,30
1924,8,8,5,13
1924,9,8,7,46
1924,10,8,22,53
1924,11,8,1,30
1924,12,7,17,54
1925,1,6,4,53
1925,2,4,16,37
1925,3,6,11,0
1925,4,5,16,23
1925,5,6,10,18
1925,6,6,14,57
1925,7,8,1,25
1925,8,8,11,8
1925,9,8,13,41
1925,10,9,4,48
1925,11,8,7,27
1925,12,7,23,53
1926,1,6,10,55
1926,2,4,22,39
1926,3,6,17,0
1926,4,5,22,19
1926,5,6,16,9
1926,6,6,20,42
1926,7,8,7,6
1926,8,8,16,45
1926,9,8,19,16
1926,10,9,10,25
1926,11,8,13,8
1926,12,8,5,39
1927,1,6,16,45
1927,2,5,4,31
1927,3,6,22,51
1927,4,6,4,7
1927,5,6,21,53
1927,6,7,2,25
1927,7,8,12,50
1927,8,8,22,32
1927,9,9,1,6
1927,10,9,16,16
1927,11,8,18,57
1927,12,8,11,27
1928,1,6,22,32
1928,2,5,10,17
1928,3,6,4,38
1928,4,5,9,55
1928,5,6,3,44
1928,6,6,8,18
1928,7,7,18,45
1928,8,8,4,28
1928,9,8,7,2
1928,10,8,22,11
1928,11,8,0,50
1928,12,7,17,18
1929,1,6,4,23
1929,2,4,16,9
1929,3,6,10,32
1929,4,5,15,52
1929,5,6,9,41
1929,6,6,14,11
1929,7,8,0,32
1929,8,8,10,9
1929,9,8,12,40
1929,10,9,3,48
1929,11,8,6,28
1929,12,7,22,57
1930,1,6,10,3
1930,2,4,21,52
1930,3,6,16,17
1930,4,5,21,38
1930,5,6,15,28
1930,6,6,19,58
1930,7,8,6,20
1930,8,8,15,58
1930,9,8,18,29
1930,10,9,9,38
1930,11,8,12,21
1930,12,8,4,51
1931,1,6,15,56
1931,2,5,3,41
1931,3,6,22,3
1931,4,6,3,21
1931,5,6,21,10
1931,6,7,1,42
1931,7,8,12,6
1931,8,8,21,45
1931,9,9,0,18
1931,10,9,15,27
1931,11,8,18,10
1931,12,8,10,41
1932,1,6,21,46
1932,2,5,9,30
1932,3,6,3,50
1932,4,5,9,7
1932,5,6,2,55
1932,6,6,7,28
1932,7,7,17,53
1932,8,8,3,32
1932,9,8,6,3
1932,10,8,21,10
1932,11,7,23,50
1932,12,7,16,19
1933,1,6,3,24
1933,2,4,15,10
1933,3,6,9,32
1933,4,5,14,51
1933,5,6,8,42
1933,6,6,13,18
1933,7,7,23,45
1933,8,8,9,26
1933,9,8,11,58
1933,10,9,3,4
1933,11,8,5,43
1933,12,7,22,12
1934,1,6,9,16
1934,2,4,21,4
1934,3,6,15,27
1934,4,5,20,44
1934,5,6,14,31
1934,6,6,19,2
1934,7,8,5,25
1934,8,8,15,4
1934,9,8,17,37
1934,10,9,8,46
1934,11,8,11,27
1934,12,8,3,57
1935,1,6,15,3
1935,2,5,2,49
1935,3,6,21,11
1935,4,6,2,27
1935,5,6,20,12
1935,6,7,0,42
1935,7,8,11,6
1935,8,8,20,48
1935,9,8,23,25
1935,10,9,14,36
1935,11,8,17,18
1935,12,8,9,45
1936,1,6,20,47
1936,2,5,8,30
1936,3,6,2,50
1936,4,5,8,7
1936,5,6,1,57
1936,6,6,6,31
1936,7,7,16,59
1936,8,8,2,44
1936,9,8,5,21
1936,10,8,20,33
1936,11,7,23,15
1936,12,7,15,43
1937,1,6,2,44
1937,2,4,14,26
1937,3,6,8,45
1937,4,5,14,2
1937,5,6,7,51
1937,6,6,12,23
1937,7,7,22,46
1937,8,8,8,26
1937,9,8,11,0
1937,10,9,2,11
1937,11,8,4,56
1937,12,7,21,27
1938,1,6,8,32
1938,2,4,20,15
1938,3,6,14,34
1938,4,5,19,49
1938,5,6,13,35
1938,6,6,18,7
1938,7,8,4,32
1938,8,8,14,13
1938,9,8,16,49
1938,10,9,8,2
1938,11,8,10,49
1938,12,8,3,23
1939,1,6,14,28
1939,2,5,2,11
1939,3,6,20,27
1939,4,6,1,38
1939,5,6,19,21
1939,6,6,23,52
1939,7,8,10,19
1939,8,8,20,4
1939,9,8,22,42
1939,10,9,13,57
1939,11,8,16,44
1939,12,8,9,18
1940,1,6,20,24
1940,2,5,8,8
1940,3,6,2,24
1940,4,5,7,35
1940,5,6,1,17
1940,6,6,5,44
1940,7,7,16,8
1940,8,8,1,52
1940,9,8,4,30
1940,10,8,19,43
1940,11,7,22,27
1940,12,7,14,58
1941,1,6,2,4
1941,2,4,13,50
1941,3,6,8,10
1941,4,5,13,25
1941,5,6,7,10
1941,6,6,11,40
1941,7,7,22,3
1941,8,8,7,46
1941,9,8,10,24
1941,10,9,1,39
1941,11,8,4,25
1941,12,7,20,57
1942,1,6,8,10
1942,2,4,19,49
1942,3,6,14,10
1942,4,5,19,24
1942,5,6,13,7
1942,6,6,17,33
1942,7,8,3,52
1942,8,8,13,31
1942,9,8,16,7
1942,10,9,7,22
1942,11,8,10,12
1942,12,8,2,47
1943,1,6,13,55
1943,2,5,1,41
1943,3,6,19,59
1943,4,6,1,12
1943,5,6,18,54
1943,6,6,23,19
1943,7,8,9,39
1943,8,8,19,19
1943,9,8,21,56
1943,10,9,13,11
1943,11,8,15,59
1943,12,8,8,33
1944,1,6,19,40
1944,2,5,7,24
1944,3,6,1,41
1944,4,5,6,54
1944,5,6,0,40
1944,6,6,5,11
1944,7,7,15,36
1944,8,8,1,19
1944,9,8,3,56
1944,10,8,19,9
1944,11,7,21,55
1944,12,7,14,28
1945,1,6,1,35
1945,2,4,13,20
1945,3,6,7,38
1945,4,5,12,52
1945,5,6,6,37
1945,6,6,11,6
1945,7,7,21,27
1945,8,8,7,6
1945,9,8,9,39
1945,10,9,0,50
1945,11,8,3,35
1945,12,7,20,8
1946,1,6,7,17
1946,2,4,19,4
1946,3,6,13,25
1946,4,5,18,39
1946,5,6,12,22
1946,6,6,16,49
1946,7,8,3,11
1946,8,8,12,52
1946,9,8,15,28
1946,10,9,6,41
1946,11,8,9,28
1946,12,8,2,1
1947,1,6,13,7
1947,2,5,0,51
1947,3,6,19,8
1947,4,6,0,21
1947,5,6,18,3
1947,6,6,22,32
1947,7,8,8,56
1947,8,8,18,41
1947,9,8,21,22
1947,10,9,12,38
1947,11,8,15,25
1947,12,8,7,57
1948,1,6,19,1
1948,2,5,6,43
1948,3,6,0,58
1948,4,5,6,10
1948,5,5,23,53
1948,6,6,4,21
1948,7,7,14,44
1948,8,8,0,27
1948,9,8,3,6
1948,10,8,18,21
1948,11,7,21,7
1948,12,7,13,38
1949,1,6,0,42
1949,2,4,12,24
1949,3,6,6,40
1949,4,5,11,52
1949,5,6,5,37
1949,6,6,10,7
